,date,content,id,user,replyCount,retweetCount,likeCount,quoteCount,coordinates,place,hashtags,followers,friends,ijoy
52653,2019-10-04T15:48:29+00:00,"@KaylaBraxtonWWE You were in a dream, seems like you either fall in love or be satisfied in your career.",1180147687712313346,Dwaun Marshall,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,84,470,0
441015,2019-10-30T18:31:29+00:00,@homesweethomo Flick is a gay icon,1189610794578841602,#вʟм,1,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,178,398,0
413700,2019-10-28T14:46:40+00:00,"@bearstown19 I'm not originally from here I'm from upstate New York, but I adopted the Bears in 1995, although I'm a Yankee fan I root for this White Sox out here, so you and I have those two things together in common. You hate the fact that I'm a big New York Knicks fan.  Ali, still my hero",1188829441713168390,james d walton,2,0,1,0,"[-87.805698, 41.8650062]","Oak Park, IL",0,375,258,0
48412,2019-10-04T20:50:10+00:00,@bcbreakaway On the bed. @nbowa @AkitagamiOtter,1180223608297312256,Huscoon,2,0,2,0,"[-87.9691933, 41.8477693]","Elmhurst, IL",0,7488,887,0
242514,2019-10-17T17:22:47+00:00,I ignored the lil smell cause you was my girlfriend 🤦🏽💔,1184882460934496260,Tre Hefner⛄️,0,0,0,1,"[-87.940033, 41.644102]","Chicago, IL",0,1423,1375,0
202994,2019-10-14T03:06:58+00:00,"Here’s a song for you… Remember Me by Jacob Latimore
https://t.co/17abDyS029",1183579924973707265,You Don't Know Me,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,857,1886,0
322757,2019-10-22T12:07:54+00:00,@nerdnursern Was it Oh hai Mark?,1186615157763559424,| REZO | chibithûn,2,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,3554,2671,0
442454,2019-10-30T16:53:53+00:00,I been shooting visuals since 2013. We going into 2020 &amp; I’m still not where I want to be at 💯,1189586230276689920,Laka,2,4,22,2,"[-87.940033, 41.644102]","Chicago, IL",0,23277,192,0
183231,2019-10-13T17:03:24+00:00,"@walkonredshirts Issue, IMO, is way too many playoff teams. P5 only should be capped at 6 (5 champs, 1 at-large), at absolute most. 3 at-large would totally reduce the intensity of late season games.
CFB has the best regular season by far. Why the hell are people not committed to protecting it?",1183428030900985857,Ben Weinberg,1,0,1,0,"[-87.733451, 42.0191507]","Evanston, IL",0,465,977,0
267479,2019-10-18T00:49:01+00:00,will Texas toast make me Texas thicc?,1184994759590514688,Pootie Tang,1,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,1010,1495,0
283698,2019-10-20T23:15:08+00:00,Chargers gonna ... charge,1186058296735780865,Nick Frazier #BLM,0,1,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,1077,1071,0
251804,2019-10-17T00:47:54+00:00,Today was 📷 and 🎥 day for us! Shoutout to @Stevewphoto and @AustinHansenTV for their time and exceptional work! #OnwardLU https://t.co/n9wcPchwy9,1184632092090601474,Loyola Men's Basketball,0,4,46,1,"[-87.940033, 41.644102]","Chicago, IL",['OnwardLU'],33011,228,0
435397,2019-10-29T00:50:12+00:00,@MsBondsd735 A7: I think our Safety Patrol and Student Council give our Ss a great opportunity to be leaders and be a voice for other Ss! #LearnLAP,1188981323089743873,"Allison LaFalce Acevedo, EdD",0,0,3,0,"[-87.940033, 41.644102]","Chicago, IL",['LearnLAP'],799,1447,0
327657,2019-10-22T00:54:52+00:00,@XXL @Just_ALB 😂🤣😂,1186445785367490565,William H. Holla,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,665,621,0
25029,2019-10-02T11:46:52+00:00,@samvantheman 😭,1179362105771925505,Michael Foss,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,14893,501,0
127955,2019-10-09T03:57:19+00:00,"Just posted a photo @ South Shore, Chicago https://t.co/ajfQEYxSmG",1181780655677591552,Mike Tyler,0,0,0,0,"[-87.58, 41.76]","Chicago, IL",0,108,278,0
87483,2019-10-06T03:03:23+00:00,@yolandaaaa___ How,1180679919816335360,✊🏾,1,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,1439,1252,0
460572,2019-10-31T15:40:54+00:00,Time to put the stang away lol,1189930250119077889,schoolboyA,0,0,0,0,"[-87.890882, 41.790186]","La Grange Park, IL",0,651,502,0
224007,2019-10-16T20:06:45+00:00,The new ep of Long May They Run confirms that you are controlling the band when dancing at the back of the arena,1184561337315274752,Mike Side Dyke Side,1,0,12,0,"[-87.940033, 41.644102]","Chicago, IL",0,1201,614,0
237562,2019-10-17T23:02:58+00:00,@ichizoba LOL yep do that.... it’s cold/windy here,1184968070395240458,md.,1,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,5289,1784,0
293029,2019-10-20T12:40:06+00:00,4828 West Grace Street https://t.co/sWMB41iTbz,1185898484165156870,every lot chicago,0,0,0,0,"[-87.74841, 41.95002]","Chicago, IL",0,4879,4,0
60354,2019-10-04T00:49:20+00:00,"I’m trying to watch a Halloween movie every day this month. Mean Girls counts, right?",1179921408572481537,spooky ryan ⚰️,0,0,6,0,"[-87.940033, 41.644102]","Chicago, IL",0,1713,767,0
264316,2019-10-18T04:00:15+00:00,Who got a blonde wig ? Short hair w bangs ?,1185042885781180416,🥐,1,0,1,1,"[-87.940033, 41.644102]","Chicago, IL",0,1662,1343,0
158400,2019-10-11T04:51:59+00:00,Reunited with that father of three I've been messing around with for like a year and half now and he uhhhh..... Agreed to top me next time we meet up!!!!! 😭😭😭😭 https://t.co/9T8QXlMDAa,1182519190806290432,NORMANI STAN ACCOUNT,1,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,942,520,0
67560,2019-10-05T15:59:25+00:00,@LHS210principal @mondoLHS @Mr_J_Aspel @youngkathy89 @NBoesso @lhsmarshall @CoachPanek3 @LHS210Wilcoxen @croy_LHS210 @DebLFinnegan @LemontAD @lhsgolfers @LemontVB @lemontsoccer @LHS_Swimming @LHS_Stu_co @AngieDuensing1 @md_lemont I love and appreciate the recognition you give. 😃,1180512825569169408,PrincipalLynch,0,0,2,0,"[-87.940033, 41.644102]","Chicago, IL",0,1580,1183,0
432698,2019-10-29T03:20:56+00:00,@DynawithaD Omg a real OG gato !!,1189019256161222657,❤️‍🔥Ariana L. Gato❤️‍🔥,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,7026,1840,0
298408,2019-10-20T00:02:23+00:00,"Les pensées peuvent être un bon allié pour la méditation, mais nous avons tendance à en faire nos ennemis. Les mots n'existent pas mais leur manque d'existence ne sert pas à les éradiquer.

Sagesse de la diaspora tibétaine 🌊 https://t.co/0q8b4dezj7",1185707797666816007,Bill Schwartz,0,0,2,0,"[-87.940033, 41.644102]","Chicago, IL",0,4812,3095,0
219538,2019-10-15T01:06:11+00:00,@jcgreenx Dry Cider?,1183911916697214979,Mario Tirabassi,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,3381,993,0
91594,2019-10-07T21:37:28+00:00,Giving BDE today by bringing in my copy of “Men Explain Things to Me” and displaying it prominently on my desk for the other new hire to see.,1181322673814720512,Christine “Emotional Turducken” Hickman,2,0,2,0,"[-87.940033, 41.644102]","Chicago, IL",0,196,1173,0
